date,1wk_WIS,1_week_roc,is_wis_above_avg,1st_deriv_stencil,week_of_year,moving_avg_WIS,lagged_1wk_WIS,loc_code,holiday_last_week
2024-03-09,45.64,-0.081081081081081,0,-86.83333333333333,10,58.54666666666668,50.88,29,0
2024-03-16,126.43,-0.3112745098039216,1,-123.08333333333331,11,74.31666666666668,45.64,29,0
2024-03-23,125.43,-0.3167259786476868,1,-44.0,12,99.16666666666669,126.43,29,0
2024-03-30,43.03,0.0052083333333332,0,1.0,13,98.29666666666668,125.43,29,0
2023-10-28,1.21,0.0,0,4.916666666666667,43,5.073333333333333,7.95,35,0
2023-11-04,1.96,4.0,0,3.8333333333333335,44,3.706666666666667,1.21,35,0
2023-11-11,4.21,-0.0999999999999999,0,-0.25,45,2.46,1.96,35,0
2023-11-18,8.89,0.3333333333333332,0,5.25,46,5.0200000000000005,4.21,35,1
2023-11-25,28.74,0.75,0,14.0,47,13.946666666666667,8.89,35,0
2023-12-02,48.97,1.0476190476190474,0,33.25,48,28.866666666666664,28.74,35,1
2023-12-09,62.0,1.0697674418604652,1,58.41666666666666,49,46.57,48.97,35,0
2023-12-16,49.8,0.7640449438202248,0,79.16666666666667,50,53.59,62.0,35,0
2023-12-23,168.24,0.4777070063694266,1,41.583333333333336,51,93.34666666666668,49.8,35,0
2023-12-30,207.34,0.021551724137931,1,-1.0833333333333333,52,141.79333333333332,168.24,35,0
2024-01-06,289.27,-0.0295358649789029,1,-44.66666666666666,1,221.61666666666665,207.34,35,1
2024-01-13,213.47,-0.3304347826086956,1,-70.66666666666667,2,236.6933333333333,289.27,35,1
2024-01-27,23.34,-0.087719298245614,0,-38.66666666666666,4,175.36,213.47,35,1
2024-02-03,23.4,-0.2596153846153846,0,-10.583333333333334,5,86.73666666666664,23.34,35,0
2024-02-10,20.13,0.0129870129870128,0,1.0,6,22.28999999999998,23.4,35,0
2024-02-17,11.39,-0.0641025641025641,0,-10.666666666666666,7,18.306666666666647,20.13,35,0
2024-02-24,14.7,-0.1780821917808219,0,-7.916666666666667,8,15.406666666666649,11.39,35,0
2024-03-02,30.7,0.0166666666666666,0,13.666666666666666,9,18.929999999999986,14.7,35,1
2024-03-09,4.08,0.2622950819672132,0,-10.416666666666666,10,16.493333333333315,30.7,35,0
2024-03-16,14.99,-0.4155844155844156,0,-11.25,11,16.589999999999982,4.08,35,0
2024-03-23,2.5,0.2666666666666666,0,-4.5,12,7.189999999999981,14.99,35,0
2024-03-30,5.47,-0.368421052631579,0,-21.0,13,7.653333333333315,2.5,35,0
2023-11-11,1.02,0.0,0,0.0833333333333333,45,0.7933333333333333,1.02,33,0
2023-11-18,0.21,0.0,0,-1.0833333333333333,46,0.7500000000000001,1.02,33,1
2023-11-25,2.81,-0.5,0,2.25,47,1.346666666666667,0.21,33,0
2023-12-02,10.84,6.0,0,7.166666666666667,48,4.62,2.81,33,1
2023-12-09,7.53,1.1428571428571428,0,10.666666666666666,49,7.06,10.84,33,0
2023-12-16,9.52,0.8666666666666667,0,13.166666666666666,50,9.296666666666669,7.53,33,0
2023-12-23,2.69,0.4642857142857142,0,16.666666666666668,51,6.580000000000001,9.52,33,0
2023-12-30,45.11,0.3902439024390243,1,2.4166666666666665,52,19.106666666666666,2.69,33,0
2024-01-06,43.31,-0.175438596491228,1,-5.25,1,30.37,45.11,33,1
2024-01-13,49.01,0.0,1,-13.666666666666666,2,45.81,43.31,33,1
2024-01-27,19.84,-0.1999999999999999,1,-6.5,4,37.38666666666666,49.01,33,1
2024-02-03,24.8,0.5416666666666667,1,14.5,5,31.21666666666667,19.84,33,0
2024-02-10,12.81,0.2162162162162162,1,1.9166666666666667,6,19.15,24.8,33,0
2024-02-17,3.22,-0.0888888888888889,0,-8.166666666666666,7,13.61,12.81,33,0
2024-02-24,4.58,-0.1951219512195121,0,-0.3333333333333333,8,6.87,3.22,33,0
2024-03-02,1.47,0.1818181818181818,0,0.25,9,3.0900000000000003,4.58,33,1
2024-03-09,6.15,-0.1538461538461538,0,0.0,10,4.066666666666666,1.47,33,0
2024-03-16,4.95,0.1515151515151516,0,-3.5,11,4.19,6.15,33,0
2024-03-23,10.94,-0.3421052631578947,0,-10.5,12,7.346666666666667,4.95,33,0
2024-03-30,7.4,-0.3199999999999999,0,-8.0,13,7.763333333333333,10.94,33,0
2023-10-28,25.16,0.2972972972972973,0,8.166666666666666,43,14.943333333333332,16.16,36,0
2023-11-04,37.56,0.1875,0,19.5,44,26.293333333333333,25.16,36,0
2023-11-11,72.56,0.5438596491228069,0,33.166666666666664,45,45.09333333333333,37.56,36,0
2023-11-18,102.87,0.3977272727272727,0,36.0,46,70.99666666666667,72.56,36,1
2023-11-25,229.19,0.4471544715447155,1,112.91666666666669,47,134.8733333333333,102.87,36,0
2023-12-02,107.28,0.9382022471910112,0,168.91666666666666,48,146.4466666666667,229.19,36,1
2023-12-09,101.45,0.4753623188405798,0,202.91666666666663,49,145.97333333333333,107.28,36,0
2023-12-16,82.2,0.461689587426326,0,200.83333333333331,50,96.97666666666667,101.45,36,0
2023-12-23,144.46,0.256720430107527,0,335.25,51,109.37,82.2,36,0
2023-12-30,660.22,0.4363636363636363,1,205.0,52,295.6266666666667,144.46,36,0
2024-01-06,1208.8,-0.0483991064780342,1,-209.0,1,671.16,660.22,36,1
2024-01-13,1139.84,-0.1956181533646322,1,-188.91666666666663,2,1002.9533333333331,1208.8,36,1
2024-01-27,50.95,0.0695249130938586,0,-124.08333333333331,4,799.8633333333332,1139.84,36,1
2024-02-03,63.31,-0.1657638136511375,0,-126.83333333333331,5,418.0333333333333,50.95,36,0
2024-02-10,109.2,-0.0870129870129869,0,23.75,6,74.48666666666666,63.31,36,0
2024-02-17,147.56,0.1237553342816499,0,63.083333333333336,7,106.69,109.2,36,0
2024-02-24,87.75,0.010126582278481,0,-2.4166666666666665,8,114.83666666666666,147.56,36,0
2024-03-02,24.39,-0.0313283208020049,0,-103.33333333333331,9,86.56666666666666,87.75,36,1
2024-03-09,112.58,-0.2289780077619664,0,-202.58333333333331,10,74.90666666666667,24.39,36,0
2024-03-16,100.44,-0.3053691275167784,0,-127.58333333333331,11,79.13666666666667,112.58,36,0
2024-03-23,65.44,-0.1376811594202898,0,-11.0,12,92.82,100.44,36,0
2024-03-30,22.87,0.0980392156862746,0,35.0,13,62.91666666666666,65.44,36,0
2023-10-28,10.5,0.0,1,-0.75,43,7.2,10.45,38,0
2023-11-04,0.66,-1.0,0,0.1666666666666666,44,7.203333333333333,10.5,38,0
2023-11-25,12.52,-0.4285714285714286,1,5.916666666666667,47,6.18,0.46,38,0
2023-12-02,2.11,3.25,0,3.9166666666666665,48,5.03,12.52,38,1
2023-12-09,2.4,-0.3529411764705882,0,-2.5,49,5.676666666666667,2.11,38,0
2023-12-16,3.18,0.4545454545454546,0,7.166666666666667,50,2.563333333333333,2.4,38,0
2023-12-23,14.58,0.625,1,19.916666666666668,51,6.72,3.18,38,0
2023-12-30,3.91,0.9615384615384616,0,16.0,52,7.223333333333333,14.58,38,0
2024-01-06,27.55,0.0196078431372548,1,-14.5,1,15.346666666666666,3.91,38,1
2024-01-13,22.41,-0.3846153846153846,1,-1.75,2,17.956666666666667,27.55,38,1
2024-01-27,2.47,0.1707317073170731,0,7.083333333333333,4,17.47666666666667,22.41,38,1
2024-02-03,1.96,-0.1666666666666666,0,-11.083333333333334,5,8.946666666666667,2.47,38,0
2024-02-10,6.1,-0.2249999999999999,0,-5.416666666666667,6,3.51,1.96,38,0
2024-02-17,3.5,-0.0645161290322581,0,-2.5,7,3.853333333333333,6.1,38,0
2024-02-24,3.25,-0.1379310344827586,0,-3.8333333333333335,8,4.283333333333333,3.5,38,0
2024-03-02,3.73,-0.12,0,-2.6666666666666665,9,3.4933333333333336,3.25,38,1
2024-03-09,6.54,-0.0454545454545454,0,5.083333333333333,10,4.506666666666667,3.73,38,0
2024-03-16,3.76,0.3809523809523809,0,-1.4166666666666667,11,4.676666666666667,6.54,38,0
2024-03-23,13.67,-0.3103448275862068,1,1.0,12,7.989999999999999,3.76,38,0
2024-03-30,1.53,0.55,0,11.0,13,6.32,13.67,38,0
2023-10-28,1.13,-0.5454545454545454,0,-2.25,43,2.893333333333333,6.23,40,0
2023-11-04,11.13,0.8,0,14.75,44,6.163333333333334,1.13,40,0
2023-11-11,13.44,0.8888888888888888,0,10.666666666666666,45,8.566666666666668,11.13,40,0
2023-11-18,4.82,0.0882352941176469,0,-4.416666666666667,46,9.796666666666669,13.44,40,1
2023-11-25,26.06,-0.081081081081081,0,20.416666666666668,47,14.773333333333332,4.82,40,0
2023-12-02,9.17,1.0882352941176472,0,14.0,48,13.35,26.06,40,1
2023-12-09,6.64,-0.1408450704225352,0,-1.0,49,13.956666666666669,9.17,40,0
2023-12-16,47.26,0.3934426229508196,1,59.16666666666666,50,21.023333333333333,6.64,40,0
2023-12-23,21.99,0.8588235294117648,0,25.25,51,25.296666666666667,47.26,40,0
2023-12-30,14.27,-0.1329113924050633,0,-0.0833333333333333,52,27.84,21.99,40,0
2024-01-06,14.1,0.2700729927007299,0,35.666666666666664,1,16.786666666666665,14.27,40,1
2024-01-13,26.86,0.2298850574712643,0,91.0,2,18.41,14.1,40,1
2024-01-27,27.61,0.3675889328063242,0,113.41666666666669,4,22.85666666666667,26.86,40,1
2024-02-03,7.87,0.2167630057803469,0,67.25,5,20.78,27.61,40,0
2024-02-10,134.51,0.1140142517814726,1,-5.333333333333333,6,56.66333333333333,7.87,40,0
2024-02-17,282.98,-0.1663113006396588,1,-179.16666666666666,7,141.78666666666666,134.51,40,0
2024-02-24,95.71,-0.5652173913043479,1,-117.33333333333331,8,171.0666666666667,282.98,40,0
2024-03-02,93.71,0.0529411764705882,1,28.33333333333333,9,157.46666666666667,95.71,40,1
2024-03-09,11.69,0.0111731843575419,0,-20.33333333333333,10,67.03666666666666,93.71,40,0
2024-03-16,9.81,-0.2320441988950276,0,-50.66666666666666,11,38.40333333333333,11.69,40,0
2024-03-23,10.99,-0.3237410071942446,0,-24.0,12,10.83,9.81,40,0
2024-03-30,4.8,-0.0319148936170212,0,-3.0,13,8.533333333333333,10.99,40,0
2023-10-28,14.69,-0.34375,0,6.5,43,7.116666666666667,3.98,45,0
2023-11-04,18.72,1.1428571428571428,0,18.0,44,12.463333333333331,14.69,45,0
2023-11-11,30.43,0.1555555555555554,0,7.666666666666667,45,21.28,18.72,45,0
2023-11-18,26.55,0.2307692307692308,0,12.0,46,25.23333333333333,30.43,45,1
2023-11-25,69.51,0.265625,0,35.583333333333336,47,42.16333333333333,26.55,45,0
2023-12-02,25.51,0.6419753086419753,0,47.333333333333336,48,40.52333333333333,69.51,45,1
2023-12-09,78.54,0.3308270676691729,1,59.0,49,57.85333333333333,25.51,45,0
2023-12-16,141.75,0.4915254237288136,1,119.66666666666669,50,81.93333333333334,78.54,45,0
2023-12-23,98.94,0.5946969696969697,1,231.41666666666663,51,106.41,141.75,45,0
2023-12-30,279.9,0.5415676959619953,1,39.0,52,173.52999999999997,98.94,45,0
2024-01-06,513.22,-0.2604006163328197,1,-236.66666666666663,1,297.3533333333333,279.9,45,1
2024-01-13,386.44,-0.4416666666666666,1,-138.5,2,393.18666666666667,513.22,45,1
2024-01-27,30.21,0.0812182741116751,0,-33.0,4,309.95666666666665,386.44,45,1
2024-02-03,22.57,-0.1784037558685446,0,-42.5,5,146.40666666666667,30.21,45,0
2024-02-10,28.91,-0.2457142857142856,0,-21.5,6,27.23,22.57,45,0
2024-02-17,19.49,-0.0151515151515151,0,-8.333333333333334,7,23.656666666666663,28.91,45,0
2024-02-24,25.07,-0.1461538461538462,0,-12.416666666666666,8,24.49,19.49,45,0
2024-03-02,17.8,-0.036036036036036,0,-5.0,9,20.786666666666665,25.07,45,1
2024-03-09,11.94,-0.0934579439252336,0,-15.666666666666666,10,18.27,17.8,45,0
2024-03-16,8.65,-0.1958762886597937,0,-16.333333333333332,11,12.796666666666669,11.94,45,0
2024-03-23,7.05,-0.141025641025641,0,-7.5,12,9.213333333333331,8.65,45,0
2024-03-30,4.58,-0.0597014925373133,0,-4.0,13,6.760000000000001,7.05,45,0
2023-10-28,8.12,0.1627906976744186,0,-6.0,43,5.803333333333334,1.59,42,0
2023-11-04,30.49,-0.2199999999999999,0,17.5,44,13.4,8.12,42,0
2023-11-11,37.49,1.1025641025641026,0,27.08333333333333,45,25.366666666666664,30.49,42,0
2023-11-18,56.26,0.0853658536585366,0,13.833333333333334,46,41.41333333333333,37.49,42,1
2023-11-25,132.3,0.404494382022472,0,68.5,47,75.35000000000001,56.26,42,0
2023-12-02,68.81,0.736,0,80.5,48,85.79,132.3,42,1
2023-12-09,58.56,0.3087557603686637,0,70.0,49,86.55666666666667,68.81,42,0
2023-12-16,241.77,0.3908450704225352,1,215.33333333333331,50,123.04666666666668,58.56,42,0
2023-12-23,46.4,0.7949367088607595,0,385.5,51,115.57666666666668,241.77,42,0
2023-12-30,543.77,0.4569816643159379,1,20.08333333333333,52,277.31333333333333,46.4,42,0
2024-01-06,795.11,-0.2623426911907066,1,-278.3333333333333,1,461.7600000000001,543.77,42,1
2024-01-13,759.75,-0.2414698162729659,1,-187.25,2,699.5433333333334,795.11,42,1
2024-01-27,166.16,-0.0991189427312775,1,-53.66666666666666,4,573.6733333333333,759.75,42,1
2024-02-03,115.72,0.1149144254278728,0,20.58333333333333,5,347.21000000000004,166.16,42,0
2024-02-10,169.25,-0.057017543859649,1,21.08333333333333,6,150.3766666666667,115.72,42,0
2024-02-17,131.07,0.1604651162790697,0,39.333333333333336,7,138.68000000000004,169.25,42,0
2024-02-24,141.47,0.0020040080160319,0,23.25,8,147.26333333333335,131.07,42,0
2024-03-02,114.21,0.088,0,18.166666666666668,9,128.9166666666667,141.47,42,1
2024-03-09,18.19,-0.0606617647058823,0,-103.91666666666669,10,91.29000000000003,114.21,42,0
2024-03-16,19.06,-0.2778864970645792,0,-86.33333333333333,11,50.4866666666667,18.19,42,0
2024-03-23,59.47,-0.059620596205962,0,-50.5,12,32.24000000000004,19.06,42,0
2024-03-30,24.4,-0.2276657060518732,0,-79.0,13,34.31000000000004,59.47,42,0
2023-10-28,2.19,0.0232558139534884,0,-0.5833333333333334,43,2.0733333333333333,2.19,47,0
2023-11-04,1.55,0.0,0,0.8333333333333334,44,1.9766666666666663,2.19,47,0
