date,1wk_WIS,1_week_roc,is_wis_above_avg,1st_deriv_stencil,week_of_year,moving_avg_WIS,lagged_1wk_WIS,loc_code,holiday_last_week,population,pred_hosp,actual_hosp,is_prediction_over
2024-02-03,24.73,0.4078947368421053,1,20.666666666666668,5,32.78333333333333,30.52,19,0,3190369,62.7180822276164,112.0,False
2024-02-10,23.58,0.0467289719626167,1,4.583333333333333,6,26.276666666666667,24.73,19,0,3190369,65.9744170338981,124.0,False
2024-02-17,40.36,0.1071428571428572,1,23.916666666666668,7,29.55666666666667,23.58,19,0,3190369,91.037260911646,157.0,False
2024-02-24,61.92,0.2661290322580645,1,31.83333333333333,8,41.95333333333333,40.36,19,0,3190369,107.095752074398,180.0,False
2024-03-02,59.92,0.1464968152866241,1,14.75,9,54.06666666666666,61.92,19,1,3190369,93.2028396368462,178.0,False
2024-03-09,11.93,-0.011111111111111,0,-38.083333333333336,10,44.59,59.92,19,0,3190369,93.2028396368462,115.0,False
2024-03-16,26.91,-0.3539325842696629,1,-48.5,11,32.92,11.93,19,0,3190369,128.463277664203,94.0,True
2024-03-23,30.91,-0.1826086956521738,1,-12.5,12,23.25,26.91,19,0,3190369,132.348201925896,90.0,True
2024-03-30,19.68,-0.0425531914893616,0,-4.0,13,25.83333333333333,30.91,19,0,3190369,132.348201925896,82.0,True
2023-10-28,12.8,0.4285714285714286,1,5.916666666666667,43,12.443333333333332,9.83,02,0,733391,17.6595888038328,33.0,False
2023-11-04,1.89,0.1,0,6.333333333333333,44,8.173333333333334,12.8,02,0,733391,17.6595888038328,39.0,False
2023-11-11,18.47,0.1818181818181818,1,-9.333333333333334,45,11.053333333333333,1.89,02,0,733391,51.3177473833112,17.0,True
2023-11-18,35.55,-0.5641025641025641,1,-15.166666666666666,46,18.636666666666667,18.47,02,1,733391,51.3177473833112,14.0,True
2023-11-25,22.39,-0.1764705882352941,1,0.75,47,25.47,35.55,02,0,733391,66.4510327195083,15.0,True
2023-12-02,1.63,0.0714285714285714,0,1.0833333333333333,48,19.856666666666666,22.39,02,1,733391,56.8759956084467,14.0,True
2023-12-09,0.44,-0.0666666666666666,0,-6.583333333333333,49,8.153333333333334,1.63,02,0,733391,11.2483377185195,4.0,True
2023-12-16,0.68,-0.7142857142857143,0,-5.083333333333333,50,0.9166666666666666,0.44,02,0,733391,2.35944336309886,5.0,False
2023-12-23,1.73,0.25,0,0.75,51,0.95,0.68,02,0,733391,0.547651618980336,4.0,False
2023-12-30,0.95,-0.1999999999999999,0,-0.1666666666666666,52,1.12,1.73,02,0,733391,2.02793069235459,5.0,False
2024-01-06,1.17,0.25,0,1.1666666666666667,1,1.2833333333333332,0.95,02,1,733391,1.42921608577625,6.0,False
2024-01-13,7.54,0.1999999999999999,1,1.0,2,3.22,1.17,02,1,733391,2.54004985892035,9.0,False
2024-01-27,5.92,-0.2222222222222222,0,0.8333333333333334,4,4.876666666666666,7.54,02,1,733391,,8.0,False
2024-02-03,7.29,0.1428571428571428,1,3.0,5,6.916666666666667,5.92,02,0,733391,0.750372889810366,11.0,False
2024-02-10,1.0,0.375,0,-3.75,6,4.736666666666666,7.29,02,0,733391,3.29252659696943,2.0,True
2024-02-17,1.0,-0.8181818181818181,0,-4.916666666666667,7,3.0966666666666662,1.0,02,0,733391,4.14267752547296,4.0,True
2024-02-24,5.53,1.0,0,6.5,8,2.51,1.0,02,0,733391,5.24874765803091,11.0,False
2024-03-02,1.06,1.75,0,0.0833333333333333,9,2.53,5.53,02,1,733391,2.29052038274505,5.0,False
2024-03-09,3.24,-0.5454545454545454,0,-1.8333333333333333,10,3.276666666666667,1.06,02,0,733391,2.29052038274505,9.0,False
2024-03-16,5.64,0.8,0,3.583333333333333,11,3.313333333333333,3.24,02,0,733391,2.27549617475218,10.0,False
2024-03-23,3.64,0.1111111111111111,0,-0.5,12,4.173333333333333,5.64,02,0,733391,0.309268010333595,8.0,False
2024-03-30,0.53,-0.1999999999999999,0,-2.0,13,3.27,3.64,02,0,733391,0.309268010333595,7.0,False
2023-10-28,1.66,-0.2777777777777778,0,-0.75,43,2.523333333333333,1.12,05,0,3011524,12.9677184174792,18.0,False
2023-11-04,5.45,0.3846153846153846,0,7.416666666666667,44,2.7433333333333336,1.66,05,0,3011524,12.9677184174792,24.0,False
2023-11-11,1.23,0.3333333333333332,0,-1.8333333333333333,45,2.78,5.45,05,0,3011524,14.3458657098626,17.0,False
2023-11-18,3.81,-0.2916666666666666,0,1.5,46,3.4966666666666666,1.23,05,1,3011524,14.3458657098626,27.0,False
2023-11-25,1.49,0.588235294117647,0,3.25,47,2.1766666666666667,3.81,05,0,3011524,23.4022549322152,24.0,False
2023-12-02,19.24,-0.1111111111111111,0,6.333333333333333,48,8.18,1.49,05,1,3011524,26.2327361010983,41.0,False
2023-12-09,30.0,0.7083333333333333,0,13.583333333333334,49,16.91,19.24,05,0,3011524,20.1997755209363,53.0,False
2023-12-16,48.73,0.2926829268292683,1,23.08333333333333,50,32.656666666666666,30.0,05,0,3011524,20.1226243852664,96.0,False
2023-12-23,103.73,0.8113207547169812,1,73.25,51,60.81999999999999,48.73,05,0,3011524,45.9166636990281,187.0,False
2023-12-30,16.85,0.9479166666666669,0,77.83333333333333,52,56.43666666666667,103.73,05,0,3011524,88.4830874626386,234.0,False
2024-01-06,82.32,0.2513368983957218,1,9.0,1,67.63333333333334,16.85,05,1,3011524,290.054227831128,223.0,True
2024-01-13,112.69,-0.047008547008547,1,23.166666666666668,2,70.62,82.32,05,1,3011524,484.277517151806,227.0,True
2024-01-27,6.73,0.2158590308370043,0,9.833333333333334,4,67.24666666666667,112.69,05,1,3011524,,245.0,False
2024-02-03,40.81,-0.1123188405797102,1,7.75,5,53.41,6.73,05,0,3011524,227.040906480755,292.0,False
2024-02-10,10.96,0.1918367346938776,0,8.75,6,19.500000000000007,40.81,05,0,3011524,235.574435966604,258.0,False
2024-02-17,21.48,-0.1164383561643835,0,-14.083333333333334,7,24.416666666666675,10.96,05,0,3011524,238.018240943087,275.0,False
2024-02-24,14.66,0.0658914728682169,0,17.083333333333332,8,15.700000000000008,21.48,05,0,3011524,238.758392728013,278.0,False
2024-03-02,5.41,0.0109090909090909,0,-13.666666666666666,9,13.850000000000009,14.66,05,1,3011524,253.721283828406,247.0,True
2024-03-09,43.98,-0.1115107913669064,1,-39.16666666666666,10,21.350000000000005,5.41,05,0,3011524,253.721283828406,198.0,True
2024-03-16,121.75,-0.1983805668016194,1,-78.33333333333333,11,57.046666666666674,43.98,05,0,3011524,250.168277447139,105.0,True
2024-03-23,144.75,-0.4696969696969697,1,-58.0,12,103.49333333333334,121.75,05,0,3011524,239.594674510925,82.0,True
2024-03-30,36.06,-0.219047619047619,0,-23.0,13,100.85333333333334,144.75,05,0,3011524,239.594674510925,60.0,True
